,Unnamed: 0,Ticker,CIK,Year,Y-1 ROE,ROE,Y+1 ROE,Y-1 Asset,Asset,Y+1 Asset,Year-1 Revenue,Revenue,Year+1 Revenue,Year-1 Net Income,Net Income,Year+1 Net Income,Accession Number,Conformed Submission Type,Conformed Period Of Report,Filed As Of Date,Date As Of Change,Company Conformed Name,Fiscal Year End,Y-1 Profit Margin,Y Profit Margin,Y+1 Profit Margin,Current Revenue YOY,Next Revenue YOY,Current Profit Margin YOY,Next Profit Margin YOY,Current ROE YOY,Future ROE YOY
833,833,CTRA US,858470,2014,12.90451284,4.806070846,-5.486183384,4981.08,5437.716,5253.038,1746.28,2173.01,1357.15,279.77,104.47,-113.89,0001628280-15-001120,10-K,2014-12-31,2015-02-27,20150227,CABOT OIL & GAS CORP,1231,0.1602091302654786,0.0480761708413675,-0.0839185056920753,0.2443651648074765,-0.3754515625790954,-0.1121329594241111,-0.1319946765334428,-0.08098441994000001,-0.10292254230000002
834,834,CTRA US,858470,2015,4.806070846,-5.486183384,-18.22753834,5437.716,5253.038,5122.569,2173.01,1357.15,1155.68,104.47,-113.89,-417.12,0000858470-16-000036,10-K,2015-12-31,2016-02-22,20160222,CABOT OIL & GAS CORP,1231,0.0480761708413675,-0.0839185056920753,-0.3609303613457012,-0.3754515625790954,-0.1484507976273809,-0.1319946765334428,-0.2770118556536259,-0.10292254230000002,-0.12741354955999998
835,835,CTRA US,858470,2016,-5.486183384,-18.22753834,3.943497215,5253.038,5122.569,4727.344,1357.15,1155.68,1764.22,-113.89,-417.12,100.39,0000858470-17-000007,10-K,2016-12-31,2017-02-27,20170227,CABOT OIL & GAS CORP,1231,-0.0839185056920753,-0.3609303613457012,0.0569033340513087,-0.1484507976273809,0.5265644469057178,-0.2770118556536259,0.41783369539701,-0.12741354955999998,0.22171035555
836,836,CTRA US,858470,2017,-18.22753834,3.943497215,24.15590937,5122.569,4727.344,4198.829,1155.68,1764.22,2188.15,-417.12,100.39,557.04,0000858470-18-000006,10-K,2017-12-31,2018-03-01,20180228,CABOT OIL & GAS CORP,1231,-0.3609303613457012,0.0569033340513087,0.2545712131252428,0.5265644469057178,0.24029316071691742,0.41783369539701,0.197667879073934,0.22171035555,0.20212412154999998
837,837,CTRA US,858470,2017,-18.22753834,3.943497215,24.15590937,5122.569,4727.344,4198.829,1155.68,1764.22,2188.15,-417.12,100.39,557.04,0000858470-18-000009,10-K/A,2017-12-31,2018-03-02,20180301,CABOT OIL & GAS CORP,1231,-0.3609303613457012,0.0569033340513087,0.2545712131252428,0.5265644469057178,0.24029316071691742,0.0,0.197667879073934,0.22171035555,0.20212412154999998
838,838,CTRA US,858470,2018,3.943497215,24.15590937,32.12532367,4727.344,4198.829,4487.245,1764.22,2188.15,2066.0,100.39,557.04,681.0,0000858470-19-000008,10-K,2018-12-31,2019-02-26,20190226,CABOT OIL & GAS CORP,1231,0.0569033340513087,0.2545712131252428,0.329622458857696,0.24029316071691742,-0.05582341247172273,0.197667879073934,0.0750512457324532,0.20212412154999998,0.07969414300000001
839,839,CTRA US,858470,2019,24.15590937,32.12532367,9.204377712,4198.829,4487.245,4524.0,2188.15,2066.0,1466.0,557.04,681.0,201.0,0000858470-20-000012,10-K,2019-12-31,2020-02-25,20200225,CABOT OIL & GAS CORP,1231,0.2545712131252428,0.329622458857696,0.1371077762619372,-0.05582341247172273,-0.29041626331074544,0.0750512457324532,-0.1925146825957588,0.07969414300000001,-0.22920945958
840,840,CTRA US,858470,2020,32.12532367,9.204377712,16.59739143,4487.245,4524.0,19900.0,2066.0,1466.0,3449.0,681.0,201.0,1158.0,0000858470-21-000013,10-K,2020-12-31,2021-02-26,20210226,CABOT OIL & GAS CORP,1231,0.329622458857696,0.1371077762619372,0.3357494926065526,-0.29041626331074544,1.3526603001364257,-0.1925146825957588,0.1986417163446154,-0.22920945958,0.07393013718
841,841,CTRA US,858470,2021,9.204377712,16.59739143,33.32376932,4524.0,19900.0,20154.0,1466.0,3449.0,9051.0,201.0,1158.0,4065.0,0000858470-22-000009,10-K,2021-12-31,2022-03-01,20220301,Coterra Energy Inc.,1231,0.1371077762619372,0.3357494926065526,0.4491216440172356,1.3526603001364257,1.6242389098289358,0.1986417163446154,0.113372151410683,0.07393013718,0.1672637789
842,842,CTRA US,858470,2022,16.59739143,33.32376932,12.64689859,19900.0,20154.0,20415.0,3449.0,9051.0,,1158.0,4065.0,,0000858470-23-000011,10-K,2022-12-31,2023-02-27,20230227,Coterra Energy Inc.,1231,0.3357494926065526,0.4491216440172356,,1.6242389098289358,,0.113372151410683,,0.1672637789,-0.20676870729999997
843,843,CTSH US,1058290,2004,26.10163615,27.5544631,28.47815401,360.588989257813,572.745,869.893,368.23,586.67,885.83,57.37,100.24,166.27,0000950123-05-003226,10-K,2004-12-31,2005-03-16,20050316,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.155799364527605,0.1708626655530366,0.1876996714945305,0.5932161963989895,0.5099289208584044,,0.0168370059414939,0.014528269499999986,0.009236909100000013
844,844,CTSH US,1058290,2005,27.5544631,28.47815401,26.04489484,572.745,869.893,1325.981,586.67,885.83,1424.27,100.24,166.27,232.8,0001193125-06-054940,10-K,2005-12-31,2006-03-15,20060315,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1708626655530366,0.1876996714945305,0.1634521544370098,0.5099289208584044,0.6078367181061828,0.0168370059414939,-0.0242475170575207,0.009236909100000013,-0.024332591699999996
845,845,CTSH US,1058290,2006,28.47815401,26.04489484,27.5509903,869.893,1325.981,1838.306,885.83,1424.27,2135.58,166.27,232.8,350.13,0001193125-07-034095,10-K,2006-12-31,2007-02-16,20070216,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1876996714945305,0.1634521544370098,0.1639507768381423,0.6078367181061828,0.4994207558960029,-0.0242475170575207,0.0004986224011324,-0.024332591699999996,0.015060954599999975
846,846,CTSH US,1058290,2007,26.04489484,27.5509903,25.0944438,1325.981,1838.306,2374.56,1424.27,2135.58,2816.3,232.8,350.13,430.85,0001193125-08-042031,10-K,2007-12-31,2008-02-28,20080228,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1634521544370098,0.1639507768381423,0.1529844121719987,0.4994207558960029,0.3187518144953596,0.0004986224011324,-0.0109663646661436,0.015060954599999975,-0.02456546499999998
847,847,CTSH US,1058290,2008,27.5509903,25.0944438,23.16481389,1838.306,2374.56,3338.24,2135.58,2816.3,3278.66,350.13,430.85,534.96,0001193125-09-042103,10-K,2008-12-31,2009-03-02,20090302,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1639507768381423,0.1529844121719987,0.1631642195287099,0.3187518144953596,0.16417285090366773,-0.0109663646661436,0.0101798073567112,-0.02456546499999998,-0.01929629909999999
848,848,CTSH US,1058290,2009,25.0944438,23.16481389,23.5199134,2374.56,3338.24,4583.074,2816.3,3278.66,4592.39,430.85,534.96,733.54,0001193125-10-040500,10-K,2009-12-31,2010-02-25,20100225,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1529844121719987,0.1631642195287099,0.1597294654852919,0.16417285090366773,0.40069113601288353,0.0101798073567112,-0.0034347540434179,-0.01929629909999999,0.0035509950999999874
849,849,CTSH US,1058290,2010,23.16481389,23.5199134,23.44648633,3338.24,4583.074,5507.933,3278.66,4592.39,6121.16,534.96,733.54,883.62,0001193125-11-043696,10-K,2010-12-31,2011-02-23,20110223,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1631642195287099,0.1597294654852919,0.1443549915375517,0.40069113601288353,0.3328920235432966,-0.0034347540434179,-0.0153744739477402,0.0035509950999999874,-0.0007342707000000104
850,850,CTSH US,1058290,2011,23.5199134,23.44648633,23.87262158,4583.074,5507.933,6521.571,4592.39,6121.16,7346.47,733.54,883.62,1051.26,0001193125-12-081638,10-K,2011-12-31,2012-02-27,20120227,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1597294654852919,0.1443549915375517,0.1430972970692046,0.3328920235432966,0.20017611041044514,-0.0153744739477402,-0.001257694468347,-0.0007342707000000104,0.004261352500000015
851,851,CTSH US,1058290,2012,23.44648633,23.87262158,22.35815375,5507.933,6521.571,8134.718,6121.16,7346.47,8843.2,883.62,1051.26,1228.6,0001193125-13-077271,10-K,2012-12-31,2013-02-26,20130226,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1443549915375517,0.1430972970692046,0.138931608467523,0.20017611041044514,0.2037345827315704,-0.001257694468347,-0.0041656886016815,0.004261352500000015,-0.01514467830000001
852,852,CTSH US,1058290,2013,23.87262158,22.35815375,20.74086096,6521.571,8134.718,11479.0,7346.47,8843.2,10263.0,1051.26,1228.6,1439.0,0001193125-14-067531,10-K,2013-12-31,2014-02-25,20140225,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1430972970692046,0.138931608467523,0.1402124135243106,0.2037345827315704,0.16055274108919848,-0.0041656886016815,0.0012808050567875,-0.01514467830000001,-0.016172927900000005
853,853,CTSH US,1058290,2014,22.35815375,20.74086096,19.0854497,8134.718,11479.0,13061.0,8843.2,10263.0,12416.0,1228.6,1439.0,1624.0,0001058290-15-000006,10-K,2014-12-31,2015-02-27,20150227,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.138931608467523,0.1402124135243106,0.1307989690721649,0.16055274108919848,0.20978271460586573,0.0012808050567875,-0.0094134444521456,-0.016172927900000005,-0.016554112599999976
854,854,CTSH US,1058290,2015,20.74086096,19.0854497,15.5253424,11479.0,13061.0,14262.0,10263.0,12416.0,13487.0,1439.0,1624.0,1553.0,0001058290-16-000049,10-K,2015-12-31,2016-02-25,20160225,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1402124135243106,0.1307989690721649,0.1151479202194706,0.20978271460586573,0.08625966494845372,-0.0094134444521456,-0.0156510488526943,-0.016554112599999976,-0.03560107300000002
855,855,CTSH US,1058290,2016,19.0854497,15.5253424,14.05804552,13061.0,14262.0,15221.0,12416.0,13487.0,14810.0,1624.0,1553.0,1504.0,0001058290-17-000008,10-K,2016-12-31,2017-03-01,20170301,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1307989690721649,0.1151479202194706,0.1015530047265361,0.08625966494845372,0.0980944613331356,-0.0156510488526943,-0.0135949154929344,-0.03560107300000002,-0.014672968799999993
856,856,CTSH US,1058290,2017,15.5253424,14.05804552,19.01959897,14262.0,15221.0,15846.0,13487.0,14810.0,16125.0,1553.0,1504.0,2101.0,0001058290-18-000009,10-K,2017-12-31,2018-02-27,20180227,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1151479202194706,0.1015530047265361,0.1302945736434108,0.0980944613331356,0.088791357191087,-0.0135949154929344,0.0287415689168747,-0.014672968799999993,0.0496155345
857,857,CTSH US,1058290,2018,14.05804552,19.01959897,16.41272387,15221.0,15846.0,16204.0,14810.0,16125.0,16783.0,1504.0,2101.0,1842.0,0001058290-19-000009,10-K,2018-12-31,2019-02-19,20190219,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1015530047265361,0.1302945736434108,0.1097539176547697,0.088791357191087,0.04080620155038761,0.0287415689168747,-0.0205406559886411,0.0496155345,-0.026068750999999998
858,858,CTSH US,1058290,2019,19.01959897,16.41272387,12.73675542,15846.0,16204.0,16923.0,16125.0,16783.0,16652.0,2101.0,1842.0,1392.0,0001058290-20-000008,10-K,2019-12-31,2020-02-14,20200214,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1302945736434108,0.1097539176547697,0.0835935623348546,0.04080620155038761,-0.007805517487934233,-0.0205406559886411,-0.026160355319915,-0.026068750999999998,-0.03675968450000001
859,859,CTSH US,1058290,2020,16.41272387,12.73675542,18.72344154,16204.0,16923.0,17852.0,16783.0,16652.0,18507.0,1842.0,1392.0,2137.0,0001058290-21-000031,10-K,2020-12-31,2021-02-12,20210212,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1097539176547697,0.0835935623348546,0.1154698222294267,-0.007805517487934233,0.11139803026663464,-0.026160355319915,0.031876259894572,-0.03675968450000001,0.059866861199999996
860,860,CTSH US,1058290,2021,12.73675542,18.72344154,18.84773663,16923.0,17852.0,17852.0,16652.0,18507.0,19428.0,1392.0,2137.0,2290.0,0001058290-22-000023,10-K,2021-12-31,2022-02-16,20220216,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.0835935623348546,0.1154698222294267,0.1178711138562898,0.11139803026663464,0.04976495380126433,0.031876259894572,0.0024012916268631,0.059866861199999996,0.0012429509000000038
861,861,CTSH US,1058290,2022,18.72344154,18.84773663,16.65100251,17852.0,17852.0,18483.0,18507.0,19428.0,19353.0,2137.0,2290.0,2126.0,0001058290-23-000027,10-K,2022-12-31,2023-02-15,20230215,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,0.1154698222294267,0.1178711138562898,0.1098537694414302,0.04976495380126433,-0.0038604076590488257,0.0024012916268631,-0.0080173444148596,0.0012429509000000038,-0.021967341199999987
862,862,CVS US,64803,2019,-1.238583761,10.86748192,10.77499193,196456.0,222449.0,230715.0,194579.0,256776.0,268706.0,-594.0,6634.0,7179.0,0000064803-20-000007,10-K,2019-12-31,2020-02-18,20200218,CVS HEALTH Corp,1231,-0.0030527446435637,0.0258357478892108,0.0267169322605375,0.3196490885450125,0.04646072841698601,,0.0008811843713267,0.12106065680999999,-0.0009248998999999891
863,863,CVS US,64803,2020,10.86748192,10.77499193,10.95082512,222449.0,230715.0,232999.0,256776.0,268706.0,292111.0,6634.0,7179.0,7910.0,0000064803-21-000011,10-K,2020-12-31,2021-02-16,20210216,CVS HEALTH Corp,1231,0.0258357478892108,0.0267169322605375,0.0270787474624372,0.04646072841698601,0.08710263261706097,0.0008811843713267,0.0003618152018996,-0.0009248998999999891,0.0017583318999999874
864,864,CVS US,64803,2021,10.77499193,10.95082512,5.883557157,230715.0,232999.0,228275.0,268706.0,292111.0,322467.0,7179.0,7910.0,4311.0,0000064803-22-000008,10-K,2021-12-31,2022-02-09,20220209,CVS HEALTH Corp,1231,0.0267169322605375,0.0270787474624372,0.0133688098317037,0.08710263261706097,0.10391940050186399,0.0003618152018996,-0.0137099376307335,0.0017583318999999874,-0.05067267962999999
865,865,CVS US,64803,2022,10.95082512,5.883557157,11.28101129,232999.0,228275.0,249728.0,292111.0,322467.0,357776.0,7910.0,4311.0,8344.0,0000064803-23-000009,10-K,2022-12-31,2023-02-08,20230208,CVS HEALTH Corp,1231,0.0270787474624372,0.0133688098317037,0.0233218550154286,0.10391940050186399,0.10949647560835674,-0.0137099376307335,0.0099530451837249,-0.05067267962999999,0.05397454133
866,866,CZR US,1590895,2015,,54.09132468,8.715942915,1171.559,1325.008,1294.044,361.82,719.78,892.9,-14.43,114.18,24.8,0001558370-16-004151,10-K,2015-12-31,2016-03-15,20160315,"Eldorado Resorts, Inc.",1231,-0.03988170913714,0.1586318041623829,0.0277746668159928,0.9893317119009453,0.24051793603601102,,-0.1308571373463901,,-0.45375381765
867,867,CZR US,1590895,2016,54.09132468,8.715942915,11.83502574,1325.008,1294.044,3546.472,719.78,892.9,1480.8,114.18,24.8,73.38,0001564590-17-004044,10-K,2016-12-31,2017-03-13,20170313,"Eldorado Resorts, Inc.",1231,0.1586318041623829,0.0277746668159928,0.0495542949756888,0.24051793603601102,0.6584163960129914,-0.1308571373463901,0.0217796281596959,-0.45375381765,0.031190828250000014
868,868,CZR US,1590895,2018,11.83502574,9.664848408,7.547579447,3546.472,5911.462,5640.553,1480.8,2056.01,2528.25,73.38,95.24,81.0,0001564590-19-005640,10-K,2018-12-31,2019-03-01,20190301,"Eldorado Resorts, Inc.",1231,0.0495542949756888,0.0463227318933273,0.0320379709285078,0.3884454349000541,0.22968759879572564,0.0185480650773345,-0.0142847609648195,-0.021701773320000017,-0.02117268960999999
869,869,CZR US,1590895,2019,9.664848408,7.547579447,-57.29419132,5911.462,5640.553,36385.0,2056.01,2528.25,3628.0,95.24,81.0,-1757.0,0001564590-20-007599,10-K,2019-12-31,2020-02-28,20200227,"Eldorado Resorts, Inc.",1231,0.0463227318933273,0.0320379709285078,-0.4842888643880926,0.22968759879572564,0.4349846731929201,-0.0142847609648195,-0.5163268353166005,-0.02117268960999999,-0.64841770767
870,870,CZR US,1590895,2020,7.547579447,-57.29419132,-21.46166807,5640.553,36385.0,38031.0,2528.25,3628.0,9570.0,81.0,-1757.0,-1019.0,0001590895-21-000085,10-K,2020-12-31,2021-03-01,20210226,"Caesars Entertainment, Inc.",1231,0.0320379709285078,-0.4842888643880926,-0.106478578892372,0.4349846731929201,1.637816979051819,-0.5163268353166005,0.3778102854957206,-0.64841770767,0.35832523250000003
871,871,CZR US,1590895,2022,-21.46166807,-21.94556329,19.0199637,38031.0,33527.0,33366.0,9570.0,10821.0,11528.0,-1019.0,-899.0,786.0,0001590895-23-000070,10-K,2022-12-31,2023-02-22,20230221,"Caesars Entertainment, Inc.",1231,-0.106478578892372,-0.0830791978560207,0.0681818181818181,0.1307210031347963,0.06533592089455698,0.4012096665320719,0.1512610160378388,-0.004838952199999973,0.4096552699
872,872,D US,715957,2008,22.75191541,18.65215829,12.10610479,39139.0,42053.0,42554.0,14816.0,16290.0,14798.0,2555.0,1834.0,1287.0,0001193125-09-039102,10-K,2008-12-31,2009-02-26,20090226,DOMINION RESOURCES INC /VA/,1231,0.1724487041036717,0.1125844076120319,0.08697121232599,0.09948704103671702,-0.09158993247391034,,-0.0256131952860419,-0.0409975712,-0.06546053499999999
873,873,D US,715957,2014,15.28140477,11.29456395,15.68190264,50096.0,54327.0,58648.0,13120.0,12436.0,11683.0,1697.0,1310.0,1899.0,0001193125-15-067777,10-K,2014-12-31,2015-02-27,20150227,DOMINION RESOURCES INC /VA/,0503,0.1293445121951219,0.1053393374075265,0.1625438671574082,-0.052134146341463405,-0.06055001608234156,-0.0072450702045053,0.0572045297498816,-0.0398684082,0.0438733869
874,874,D US,715957,2015,11.29456395,15.68190264,15.57079468,54327.0,58648.0,71610.0,12436.0,11683.0,11737.0,1310.0,1899.0,2123.0,0001193125-16-480850,10-K,2015-12-31,2016-02-26,20160226,DOMINION RESOURCES INC /VA/,1231,0.1053393374075265,0.1625438671574082,0.1808809746954076,-0.06055001608234156,0.004622100487888359,0.0572045297498816,0.0183371075379994,0.0438733869,-0.0011110796
875,875,D US,715957,2016,15.68190264,15.57079468,18.89312376,58648.0,71610.0,76585.0,11683.0,11737.0,12586.0,1899.0,2123.0,2999.0,0001193125-17-060413,10-K,2016-12-31,2017-02-28,20170228,DOMINION RESOURCES INC /VA/,1231,0.1625438671574082,0.1808809746954076,0.2382806292706181,0.004622100487888359,0.07233534974865807,0.0183371075379994,0.0573996545752104,-0.0011110796,0.03322329080000001
876,876,D US,715957,2017,15.57079468,18.89312376,13.13860775,71610.0,76585.0,77914.0,11737.0,12586.0,11199.0,2123.0,2999.0,2447.0,0001193125-18-059578,10-K,2017-12-31,2018-02-27,20180227,DOMINION ENERGY INC /VA/,1231,0.1808809746954076,0.2382806292706181,0.2185016519332083,0.07233534974865807,-0.110201811536628,0.0573996545752104,-0.0197789773374098,0.03322329080000001,-0.05754516010000001
877,877,D US,715957,2018,18.89312376,13.13860775,5.463249789,76585.0,77914.0,103823.0,12586.0,11199.0,14401.0,2999.0,2447.0,1358.0,0001193125-19-057924,10-K,2018-12-31,2019-02-28,20190228,DOMINION ENERGY INC /VA/,1231,0.2382806292706181,0.2185016519332083,0.0942990070134018,-0.110201811536628,0.28591838557014015,-0.0197789773374098,-0.1242026449198064,-0.05754516010000001,-0.07675357961000001
878,878,D US,715957,2020,5.463249789,-1.503646624,13.35092884,103823.0,95905.0,99590.0,14401.0,14172.0,13964.0,1358.0,-401.0,3288.0,0001564590-21-008442,10-K,2020-12-31,2021-02-25,20210225,"DOMINION ENERGY, INC",1231,0.0942990070134018,-0.0282952300310471,0.2354626181609854,-0.01590167349489624,-0.014676827547276283,-0.2467968819642554,0.2637578481920325,-0.06966896413,0.14854575464
879,879,D US,715957,2021,-1.503646624,13.35092884,3.850996649,95905.0,99590.0,104243.0,14172.0,13964.0,17174.0,-401.0,3288.0,994.0,0001564590-22-006589,10-K,2021-12-31,2022-02-24,20220224,"DOMINION ENERGY, INC",1231,-0.0282952300310471,0.2354626181609854,0.0578781879585419,-0.014676827547276283,0.2298768261243196,0.2637578481920325,-0.1775844302024434,0.14854575464,-0.09499932190999999
880,880,D US,715957,2022,13.35092884,3.850996649,7.436552483,99590.0,104243.0,109032.0,13964.0,17174.0,,3288.0,994.0,,0000950170-23-003287,10-K,2022-12-31,2023-02-21,20230221,"DOMINION ENERGY, INC",1231,0.2354626181609854,0.0578781879585419,,0.2298768261243196,,-0.1775844302024434,,-0.09499932190999999,0.03585555834
881,881,DAY US,1725057,2018,0.386394239,-4.807043985,4.499971411,6729.9,5247.8,6085.7,676.2,740.7,824.1,3.3,-60.6,78.7,0001564590-19-005517,10-K,2018-12-31,2019-02-28,20190228,Ceridian HCM Holding Inc.,1231,0.0048802129547471,-0.0818144997974888,0.095498119160296,0.09538598047914815,0.1125961927906034,,0.1773126189577849,-0.05193438224,0.09307015396000001
882,882,DAY US,1725057,2019,-4.807043985,4.499971411,-0.200979776,5247.8,6085.7,6701.3,740.7,824.1,842.5,-60.6,78.7,-4.0,0001564590-20-007850,10-K,2019-12-31,2020-02-28,20200228,Ceridian HCM Holding Inc.,1231,-0.0818144997974888,0.095498119160296,-0.0047477744807121,0.1125961927906034,0.02232738745297902,0.1773126189577849,-0.1002458936410082,0.09307015396000001,-0.04700951186999999
883,883,DAY US,1725057,2020,4.499971411,-0.200979776,-3.486140971,6085.7,6701.3,7166.2,824.1,842.5,1024.2,78.7,-4.0,-75.4,0001564590-21-009508,10-K,2020-12-31,2021-02-26,20210226,Ceridian HCM Holding Inc.,1231,0.095498119160296,-0.0047477744807121,-0.0736184338996289,0.02232738745297902,0.21566765578635017,-0.1002458936410082,-0.0688706594189168,-0.04700951186999999,-0.03285161195
884,884,DAY US,1725057,2021,-0.200979776,-3.486140971,-3.384906269,6701.3,7166.2,7917.2,842.5,1024.2,1246.2,-4.0,-75.4,-73.4,0000950170-22-002143,10-K,2021-12-31,2022-02-28,20220225,Ceridian HCM Holding Inc.,1231,-0.0047477744807121,-0.0736184338996289,-0.0588990531214893,0.21566765578635017,0.21675454012888107,-0.0688706594189168,0.0147193807781396,-0.03285161195,0.0010123470200000017
885,885,DAY US,1725057,2022,-3.486140971,-3.384906269,2.431449108,7166.2,7917.2,9010.9,1024.2,1246.2,1513.7,-75.4,-73.4,54.8,0000950170-23-005559,10-K,2022-12-31,2023-03-01,20230301,Ceridian HCM Holding Inc.,1231,-0.0736184338996289,-0.0588990531214893,0.0362026821695183,0.21675454012888107,0.21465254373294806,0.0147193807781396,0.0951017352910077,0.0010123470200000017,0.05816355377
886,886,DFS US,1393612,2007,20.75360135,3.472966964,16.11342182,29067.242,16557.809,39892.382,5997.47,5961.08,6093.39,1076.62,197.51,927.75,0001193125-08-039547,10-K,2007-11-30,2008-02-27,20080227,Discover Financial Services,1130,0.1795123610455742,0.0331332577318204,0.1522551486118564,-0.006067558487162117,0.02219564240037042,,0.119121890880036,-0.17280634386,0.12640454856
887,887,DFS US,1393612,2008,3.472966964,16.11342182,18.29662987,16557.809,39892.382,46020.987,5961.08,6093.39,7985.68,197.51,927.75,1276.19,0001193125-09-013205,10-K,2008-11-30,2009-01-28,20090128,Discover Financial Services,1130,0.0331332577318204,0.1522551486118564,0.1598098095591108,0.02219564240037042,0.3105479872451953,0.119121890880036,0.0075546609472543,0.12640454856,0.02183208050000001
888,888,DFS US,1393612,2009,16.11342182,18.29662987,9.726548669,39892.382,46020.987,60784.968,6093.39,7985.68,8241.22,927.75,1276.19,764.79,0001193125-10-014549,10-K,2009-11-30,2010-01-28,20100127,Discover Financial Services,1130,0.1522551486118564,0.1598098095591108,0.0928005804965769,0.3105479872451953,0.031999779605493606,0.0075546609472543,-0.0670092290625338,0.02183208050000001,-0.08570081201
889,889,DFS US,1393612,2011,9.726548669,29.96222969,26.55211913,60784.968,69117.0,75283.0,8241.22,8550.0,8984.0,764.79,2227.0,2345.0,0001393612-12-000008,10-K,2011-11-30,2012-01-26,20120126,Discover Financial Services,1130,0.0928005804965769,0.2604678362573099,0.2610195903829029,0.037467753560759265,0.05076023391812856,0.1006580266981991,0.0005517541255929,0.20235681021000002,-0.034101105599999994
890,890,DFS US,1393612,2012,29.96222969,26.55211913,24.80094519,69117.0,75283.0,79340.0,8550.0,8984.0,9370.0,2227.0,2345.0,2470.0,0001393612-13-000004,10-K,2012-11-30,2013-01-25,20130124,Discover Financial Services,1231,0.2604678362573099,0.2610195903829029,0.263607257203842,0.05076023391812856,0.04296527159394481,0.0005517541255929,0.002587666820939,-0.034101105599999994,-0.01751173940000001
891,891,DFS US,1393612,2013,26.55211913,24.80094519,21.8028142,75283.0,79340.0,83126.0,8984.0,9370.0,9611.0,2345.0,2470.0,2323.0,0001393612-14-000012,10-K,2013-12-31,2014-02-25,20140224,Discover Financial Services,1231,0.2610195903829029,0.263607257203842,0.241702216210592,0.04296527159394481,0.025720384204909186,0.002587666820939,-0.0219050409932499,-0.01751173940000001,-0.0299813099
892,892,DFS US,1393612,2014,24.80094519,21.8028142,21.11497603,79340.0,83126.0,86799.0,9370.0,9611.0,10002.0,2470.0,2323.0,2297.0,0001393612-15-000007,10-K,2014-12-31,2015-02-25,20150225,Discover Financial Services,1231,0.263607257203842,0.241702216210592,0.2296540691861627,0.025720384204909186,0.04068255124336706,-0.0219050409932499,-0.0120481470244292,-0.0299813099,-0.006878381699999991
893,893,DFS US,1393612,2015,21.8028142,21.11497603,21.81089146,83126.0,86799.0,92308.0,9611.0,10002.0,10497.0,2323.0,2297.0,2393.0,0001393612-16-000059,10-K,2015-12-31,2016-02-24,20160224,Discover Financial Services,1231,0.241702216210592,0.2296540691861627,0.2279698961608078,0.04068255124336706,0.04949010197960413,-0.0120481470244292,-0.0016841730253549,-0.006878381699999991,0.006959154299999995
894,894,DFS US,1393612,2016,21.11497603,21.81089146,19.27859516,86799.0,92308.0,100087.0,10002.0,10497.0,11545.0,2297.0,2393.0,2099.0,0001393612-17-000012,10-K,2016-12-31,2017-02-23,20170222,Discover Financial Services,1231,0.2296540691861627,0.2279698961608078,0.1818103074924209,0.04949010197960413,0.09983804896637127,-0.0016841730253549,-0.0461595886683868,0.006959154299999995,-0.02532296300000002
895,895,DFS US,1393612,2017,21.81089146,19.27859516,25.7542381,92308.0,100087.0,109553.0,10497.0,11545.0,12848.0,2393.0,2099.0,2742.0,0001393612-18-000012,10-K,2017-12-31,2018-02-21,20180221,Discover Financial Services,1231,0.2279698961608078,0.1818103074924209,0.2134184308841843,0.09983804896637127,0.1128627111303595,-0.0461595886683868,0.0316081233917633,-0.02532296300000002,0.0647564294
896,896,DFS US,1393612,2018,19.27859516,25.7542381,26.33530139,100087.0,109553.0,113996.0,11545.0,12848.0,13989.0,2099.0,2742.0,2957.0,0001393612-19-000011,10-K,2018-12-31,2019-02-20,20190220,Discover Financial Services,1231,0.1818103074924209,0.2134184308841843,0.2113803702909429,0.1128627111303595,0.0888075965130759,0.0316081233917633,-0.0020380605932414,0.0647564294,0.00581063290000003
897,897,DFS US,1393612,2019,25.7542381,26.33530139,10.45603069,109553.0,113996.0,112889.0,12848.0,13989.0,12953.0,2742.0,2957.0,1141.0,0001393612-20-000009,10-K,2019-12-31,2020-02-26,20200226,Discover Financial Services,1231,0.2134184308841843,0.2113803702909429,0.088087701690728,0.0888075965130759,-0.07405818857673885,-0.0020380605932414,-0.1232926686002148,0.00581063290000003,-0.158792707
